pilot_id,application_id,pilot_start_date,pilot_end_date,pilot_location,pilot_status,pilot_kpis,kpi_target,kpi_achieved,technical_success_score,operational_success_score,user_adoption_score,scalability_score,overall_pilot_score,pilot_result
c1f8c94c-d14e-4485-b20f-21a974f8f7b9,a5ffe87f-0ff3-45b1-9538-1f43ffc46afc,2026-07-26T18:40:05.943479Z,2026-08-31T18:40:05.943479Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,93,97,96,103,91,93,Successful
32ebfe76-2c2a-4a74-869f-decc94a63cc4,41883668-d1f8-4021-8ccd-1f173ddc81eb,2026-07-21T18:40:05.943493Z,2026-08-09T18:40:05.943493Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,93,98,92,94,98,93,Successful
565431a6-ade9-4c24-bfff-97cb18153e50,7411706f-d8fb-4e51-a67a-15110ee74973,2026-06-20T18:40:05.943606Z,2026-08-14T18:40:05.943606Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,37,35,33,36,38,37,Unsuccessful
24b4b6fc-a499-4266-9e2f-0c0ca37ef0b2,11d1960c-2669-4aa7-ade2-7d038cb8f251,2026-06-11T18:40:05.943649Z,2026-06-26T18:40:05.943649Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,93,89,89,94,89,93,Successful
f4540686-9694-4339-a592-870d1b77352c,8b31c5d3-1dc6-4cd1-9c48-0e8d418e546a,2026-06-20T18:40:05.943673Z,2026-08-19T18:40:05.943673Z,Kolkata,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,98,102,98,98,96,98,Successful
09cbe71f-eec7-424e-b40d-d56dfc4ccbe8,0e54cc77-dd64-43ee-aa35-64ca20a1f807,2026-07-26T18:40:05.943692Z,2026-08-15T18:40:05.943692Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,88,84,93,82,87,88,Successful
9a8fba16-1599-497f-be67-ad768da491e3,78243cd4-d4b4-4fcd-bcb1-83dfdcc55cf2,2026-06-23T18:40:05.943755Z,2026-07-24T18:40:05.943755Z,Mumbai,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,43,48,46,34,45,43,Unsuccessful
aa5f43bc-ce75-4029-9b41-a04f750be8c0,1865326f-5242-46f0-b166-32d5d008e85e,2026-06-05T18:40:05.943799Z,2026-07-24T18:40:05.943799Z,Indore,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,49,44,51,40,51,49,Unsuccessful
b3e0d5f2-f606-4d4e-8cb9-b4265bc638d7,6f71d4cb-3423-43e6-8595-0035fc80037c,2026-06-10T18:40:05.943824Z,2026-07-10T18:40:05.943824Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,98,101,96,107,95,98,Successful
b72f8847-76cd-4369-bc6c-417d533a6b3a,58b392ef-30fc-489c-b94a-34cc2fa4d28a,2026-07-21T18:40:05.943849Z,2026-08-16T18:40:05.943849Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,89,85,94,79,86,89,Successful
70371bfd-213b-434d-a772-d9a7d1b4189a,7087cc90-15f8-4425-8b19-3452685e70bd,2026-07-28T18:40:05.943861Z,2026-09-03T18:40:05.943861Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,86,85,91,92,85,86,Successful
797ec949-1295-460e-b5ce-d22485abdccb,646300fe-9b10-4d28-9cc1-1609ee15a90f,2026-07-28T18:40:05.943874Z,2026-09-10T18:40:05.943874Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,88,92,86,82,85,88,Successful
71ef169d-59ef-4887-a86b-db8f3b654377,7798d0e1-db16-44cb-b4bf-0c3164940531,2026-07-01T18:40:05.943888Z,2026-08-13T18:40:05.943888Z,Coimbatore,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,94,96,98,86,97,94,Successful
01ea17c9-3b8a-4f1b-8c69-dadd5506a746,aaeda9cd-048e-4e87-93c9-1fa32c4a2d89,2026-06-28T18:40:05.943903Z,2026-07-15T18:40:05.943903Z,Indore,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,97,96,93,106,99,97,Successful
e505c730-e256-4862-b80b-9bcd7c41a6ca,63427cca-ab16-4212-81b9-f2a65271c4dc,2026-06-10T18:40:05.943916Z,2026-07-09T18:40:05.943916Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,80,78,81,70,82,80,Successful
29c39c11-3097-4fb5-85fd-b091bc8ac73e,80605b93-26da-4d7e-a508-9e3c6319f790,2026-07-29T18:40:05.943930Z,2026-08-31T18:40:05.943930Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,99,94,97,103,102,99,Successful
55b0f74c-957c-46b6-ba5b-663d834ca3e1,951764b3-dab1-452c-943d-ae1cc77c0eee,2026-07-10T18:40:05.943944Z,2026-08-11T18:40:05.943944Z,Guwahati,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,96,98,101,99,101,96,Successful
d1b5c779-02cc-4c33-963a-e5a99aae82bf,255c607a-62fe-4577-b49c-718ac3bdb314,2026-06-14T18:40:05.943957Z,2026-07-26T18:40:05.943957Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,91,87,90,84,89,91,Successful
fe64cf2e-9002-44b0-b78c-114fa64fcdc3,a69b0c90-38c5-4f20-9e32-fa6d704aeff1,2026-07-31T18:40:05.943969Z,2026-09-29T18:40:05.943969Z,Surat,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,21,25,25,17,18,21,Unsuccessful
93664974-f015-4de4-aac0-9fe7bf00741f,a6adf668-8330-4468-b6a4-fd705cd3ceaf,2026-07-21T18:40:05.943984Z,2026-08-19T18:40:05.943984Z,Nagpur,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,29,31,34,36,24,29,Unsuccessful
b52a7203-efe3-4446-abc0-b820f1d5f76f,6c0085a9-9cae-4cb0-9304-6ce02abae8ab,2026-08-07T18:40:05.943998Z,2026-08-25T18:40:05.943998Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,50,51,52,43,50,50,Partially Successful
da18c764-3b97-49b4-b21b-dba7f7741b2a,4de26052-32f9-4bea-94a8-32381bbdd861,2026-06-25T18:40:05.944011Z,2026-08-21T18:40:05.944011Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,97,95,98,104,97,97,Successful
c7b9bc5f-fd9e-4201-9074-2127d37f7dde,b3fc2e03-25b9-4eb2-a4af-22456f177c95,2026-06-18T18:40:05.944024Z,2026-08-05T18:40:05.944024Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,13,9,8,21,18,13,Unsuccessful
1be25b42-6382-4b68-816b-16f476e8d929,73fd3abd-d259-4c3d-ad75-cd081a61651e,2026-06-11T18:40:05.944042Z,2026-07-09T18:40:05.944042Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,93,96,98,88,97,93,Successful
d19c6794-ed8c-407a-94e8-af61a14c44f9,b16c8673-8966-4fbb-8b03-71be9c61ec7f,2026-08-06T18:40:05.944109Z,2026-09-07T18:40:05.944109Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,50,50,52,46,47,50,Partially Successful
e95a592f-b3fc-4b3d-a4f2-90088ae4fb2a,9ec67044-dd05-400e-9f17-cce15bbbef43,2026-06-21T18:40:05.944130Z,2026-08-15T18:40:05.944130Z,Guwahati,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,56,51,56,59,53,56,Partially Successful
2ed2ec77-ddb6-40e0-ab1f-22c33e0c676d,f693a240-12d7-4d83-aa3e-9e47785aebd7,2026-06-28T18:40:05.944147Z,2026-08-19T18:40:05.944147Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,54,51,52,59,49,54,Partially Successful
ede59d95-df23-493b-b8fb-4921472ce10d,4d448b85-58ba-40fa-ae36-2ff52a5c4051,2026-07-31T18:40:05.944168Z,2026-09-01T18:40:05.944168Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,55,60,60,62,58,55,Partially Successful
92434adf-ceab-4b8b-88b8-e1c6a1b10bab,ec1e60eb-8dc2-45ba-9322-7e91c0036bf5,2026-07-11T18:40:05.944181Z,2026-08-16T18:40:05.944181Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,91,87,96,94,86,91,Successful
4b32ff4d-a345-4a8c-8942-39cc20c74d1f,8aa805bc-23c8-41f3-9249-3a00ae853874,2026-07-07T18:40:05.944201Z,2026-08-29T18:40:05.944201Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,97,102,92,106,93,97,Successful
74d0c43a-2f7f-428e-a1e7-6c6183575ec1,d27fa047-27b5-4c4a-bddd-75e72c8e7544,2026-07-19T18:40:05.944214Z,2026-08-16T18:40:05.944214Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,85,87,87,80,86,85,Successful
9e87749d-6aa2-415a-92b7-069029924bd4,b24d040a-bd54-4b7b-b0e9-b4ecb6d82914,2026-07-26T18:40:05.944226Z,2026-09-17T18:40:05.944226Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,96,98,96,87,95,96,Successful
667ee85d-f710-4cc1-85b0-48cb7f43b20b,3032095a-abc4-4cf2-9003-c38206ff055d,2026-06-28T18:40:05.944239Z,2026-07-27T18:40:05.944239Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,89,92,86,88,92,89,Successful
ab9511c4-5ed3-4a23-b3e7-42cf2fe72a93,b6e281b1-05fb-421f-91aa-b5b274ec8d12,2026-06-26T18:40:05.944251Z,2026-08-23T18:40:05.944251Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,42,37,39,42,44,42,Unsuccessful
8328411d-4b56-4e7f-a11f-f71c8f8691c9,6a5f258d-725d-4d82-b7c4-1f7f18f1fc5d,2026-06-22T18:40:05.944262Z,2026-08-15T18:40:05.944262Z,Nagpur,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,96,99,100,92,100,96,Successful
83893260-28c3-4b69-a894-14b95f22322c,2ae5ff91-3cb8-4265-852f-54c4d5fb2124,2026-06-12T18:40:05.944274Z,2026-07-06T18:40:05.944274Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,53,48,56,62,54,53,Partially Successful
493f5c71-9822-4fc3-a0f3-292c92e9d6b8,85b5a021-ab5f-4ecb-80d4-4f7ee9b48268,2026-06-18T18:40:05.944289Z,2026-07-22T18:40:05.944289Z,Chandigarh,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,87,89,84,94,90,87,Successful
c8fa7fed-75bb-4ad0-b2d3-14dedc1509ba,2e75c501-bbdb-4319-b775-1289700a940c,2026-07-02T18:40:05.944342Z,2026-08-29T18:40:05.944342Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,78,74,81,86,78,78,Partially Successful
