application_id,challenge_id,startup_id,ground_truth_technology_fit,ground_truth_problem_fit,ground_truth_sector_fit,ground_truth_experience_fit,ground_truth_team_fit,ground_truth_scalability_fit,ground_truth_revenue_fit,ground_truth_location_fit,ground_truth_eligibility,ground_truth_overall_quality
718dc95c-f30b-4de6-9ee5-100429a2585c,8c16eb41-a593-4db1-8576-acfb20a95d5d,7d7deb1a-ae7f-46ec-9cd2-c93c3a63da1b,0.0,-6.8,8,100,50,30,94.0,100,False,30.64
98c1da3e-c9db-4cb1-9b2d-8282b62155d8,5eabc2fb-da29-47cc-a1da-017581b62197,05b8048c-3456-4653-beb4-a8bb6746aba3,33.33,42.0,50,100,50,100,100,40,True,55.4
d66faaa6-2301-497c-8efb-9804bbcda4df,6e2f67f9-786d-4e89-ba5e-068c7ddd0b16,8be9bc11-2473-4e75-8faa-c23e82d8e85c,0.0,2.8,7,100,90,100,100,100,False,60.26
595da351-363a-4cdf-9aeb-3a7b068ce577,e3fefcef-9bfe-4d2d-aec7-964ff5d7a350,1c2b3e00-b3f5-4c9f-b737-6b2c26899c7b,0.0,9.8,17,80,70,30,100,100,False,34.16
02579dcc-2561-4c26-be94-a2d7271aa902,c8559569-f080-4d3f-b9fb-d404aaeaea5e,6c4949e1-35bc-4d7e-af3d-1409d82db44b,0.0,-6.4,9,100,90,60,100,40,False,33.62
889a6070-7a72-41f9-8ee9-c627ff048a5a,5d47c32c-9bdd-4b73-95b2-b9200c65f614,5f8c30cf-4a68-4c3c-a466-bd91448675fd,0.0,-5.8,8,100,90,60,72.0,40,False,32.24
f46623f4-20e0-492e-a5cc-5e2c215bad13,c9b924f7-3f8e-482e-9312-9d29d29ca15c,8eabedd5-cd83-47e5-adc0-e3625b72d250,0,-1.0,10,100,70,100,100,100,False,17.8
ed12fbab-b05e-4ed7-8ab2-bf051c633df1,61370f10-eee0-4038-868d-5f5c912b2943,c76e857b-46d5-4d01-aedf-35a8bb001ec4,50.0,46.0,50,100,50,100,74.0,100,True,62.9
d739d8cc-fdd0-4e85-bbff-390138fd2c18,785d8c39-f63d-4e16-afaf-b4669da59ed7,bf5f5005-1312-4706-a22e-e0ef52f7f45c,0.0,11.2,3,100,50,30,100,100,False,34.04
2375b069-a9f8-4b97-bb3c-e9d1199890e6,a3a55dc2-47e8-44fe-a06a-604dd049b2cd,723e6eb8-ec76-441e-aa7d-85b674246820,0.0,2.0,10,20,70,60,100,40,False,21.4
14223797-8acf-4d8c-a7c4-ace208a7a99f,f97cc012-a3a3-460a-ab5d-6b3d5546bf7c,f6451b62-2e8a-489e-9095-8c5b05f0d43b,0.0,10.8,2,100,50,100,100,100,False,37.36
8021e1a1-6611-4c40-ae47-191bbf7b3489,c8559569-f080-4d3f-b9fb-d404aaeaea5e,5a091fbe-1600-40fa-97e9-ce1257a31223,0.0,2.2,3,100,70,100,100,100,False,37.74
dfa073a4-4f0d-4e7e-99c3-b343549dd6b7,46595dde-9e76-4044-950f-b4eb06b14bd5,fda696a5-ca93-4b05-8c5a-147b30e0a7c8,0.0,0.0,5,40,50,30,100,100,False,23.0
ef339faa-ce3d-4771-aa83-c23d7861ba6b,c9b924f7-3f8e-482e-9312-9d29d29ca15c,500bb052-7e57-4953-bfa2-fc34df8c0310,50.0,32.4,6,80,90,100,22.0,100,False,54.18
80875d0a-2571-4ddc-abb5-7c2ba5aaaff0,f97cc012-a3a3-460a-ab5d-6b3d5546bf7c,b9396b75-e025-4560-86db-13320125825d,0.0,28.0,50,100,70,60,100,40,False,42.6
0781a6a3-4e4b-4964-9d08-c90160978e87,a361db93-a537-487f-ae2a-bbd166ad2d05,b5b9dec8-754c-4bf7-99c8-1368813164e8,0.0,0.0,20,100,90,30,100,100,False,37.5
1fb6f3d2-ee0e-487d-a838-387c50ea1199,23a5d305-eda0-4e94-8e98-f4c86a0ad297,d48c9c25-846a-44d4-8839-f5730f512bea,0.0,12.6,14,100,90,100,100,40,False,39.92
ea3dc6cd-9380-4a03-a79c-7df6595ec721,275c6c42-4302-475f-b7bd-a5bc47571afa,846598ea-5ad6-48c5-95dd-27250a0968d5,0.0,3.8,12,100,50,100,100,40,False,33.96
e52993fb-1157-45a1-be80-893b92c6e662,8bb16d46-a8ec-4a2c-a51d-cde7d11261e3,62c3053e-e342-4f1e-a660-3ba71617da7f,0.0,10.4,1,80,90,60,100,100,False,36.18
78927104-bcf1-402e-af16-bd4661d5dca8,2cf52316-f696-49ec-a725-0b6df727b6b5,d14894df-2594-41b4-a607-28d1969bf9e7,50.0,32.0,0,100,50,60,100,40,True,51.4
f92cadab-71ba-41d7-8c22-21fe80853c1e,e3af6c35-cd72-4ebe-81d0-a93493f3d4f3,263e9336-f9f5-41fc-8672-41b46abda81b,0.0,15.0,15,100,70,30,100,100,False,38.0
867b9a99-074b-48a1-8aae-9dbbf9aa243f,968c287b-05d3-41cf-934e-75910bd4f94c,cb8c5b7e-15f2-4d5a-b7da-5d3d0442c18d,0.0,12.4,11,100,70,100,100,100,False,40.58
0555a54d-ea67-49e6-80ff-729cced2f592,de712609-885c-48be-b204-a2f8998b2e4a,df573d6e-930a-4728-979e-e11e9bf05d38,0.0,-9.6,1,100,70,100,100,100,False,55.18
235aa5c2-d4c9-4028-90ad-b792178ea2b9,15b46f1c-a3f5-410c-952c-d5705a2be4a5,4056936e-5eed-4b81-be20-2cd91a3e8f75,30,29.2,13,100,50,60,100,100,False,49.14
3782cdc8-3afa-40cb-96ad-86790b0bc849,81dec053-8422-43eb-a339-fc1bd5b50d1d,c88d5ebf-a34e-4d8c-a8c1-b14607dabd00,0.0,-1.2,2,100,70,60,100,100,False,34.96
39277d41-01bd-4a50-b6f6-2799f927b225,15b46f1c-a3f5-410c-952c-d5705a2be4a5,733c96ef-e35c-479a-beab-7eeabfc30b04,33.33,33.8,12,100,70,60,71.0,100,True,51.51
510e8ec0-1139-414d-a360-157236320080,de712609-885c-48be-b204-a2f8998b2e4a,3b204e9a-8940-4fa4-81fc-f6e9669b58f1,0.0,-2.8,8,100,50,100,100,100,False,35.24
fd2832ba-e680-4309-8c6e-8fb8df9b5831,cee649d5-17c9-4ee1-9fc9-a2073fdd067b,f37e2c4e-b289-45c9-b9f8-4a8a29e9d532,0,9.8,17,100,70,30,100,100,False,17.16
d669530c-6332-44d4-9cd2-32f38ce95375,cee649d5-17c9-4ee1-9fc9-a2073fdd067b,827d789b-cb03-4fbb-8299-cb6f5ba7a679,0.0,13.0,10,100,70,60,100,100,False,38.6
3d3d8676-f071-4524-9e9a-244ae89a4586,ef73ef9f-dc66-486b-b172-14af6d121c0a,0e7930d9-7a22-4869-b399-5f656738f307,0.0,15.0,15,100,50,100,100,100,False,39.5
4f9217d1-5c35-4a36-82d6-12524555df73,84c1d83e-8cf0-4211-b561-68cb9dd7af42,8b766bdc-91ef-4437-b035-63cd3e8c26fd,0,17.6,19,100,90,30,100,100,False,20.92
0cd52bc5-f723-410d-9189-7a4dca8865ac,5eabc2fb-da29-47cc-a1da-017581b62197,16557dba-2d07-491f-9eb2-300c4b003c41,0.0,1.0,20,100,90,60,71.0,40,False,34.75
81161458-da33-4212-ae41-ed925c40c25d,b5fbf217-84b9-460b-a25a-be0aa4de3950,b763cf62-d912-4da5-8c19-4e29255d0fdc,33.33,20.2,8,100,70,60,25.0,40,True,63.09
715b97f9-8ea7-4503-ac6b-4e1d0d198d05,095c62af-346a-471b-8517-5269bcd0cab0,0b61fbdd-6e6a-451f-a1a5-1ba4e1b0c874,0.0,16.8,17,80,90,100,100,40,False,38.06
0f9d6fa3-0df2-4870-a469-98331b162e56,ef73ef9f-dc66-486b-b172-14af6d121c0a,b96036ae-8b0b-4522-b681-c0a235364608,0.0,7.6,9,100,70,30,100,100,False,35.92
2f50bee0-7869-46a6-8b33-9c840b0cb877,698cd44e-b2d1-4a5a-9ddf-8a6e6c5867f9,a1154c45-8602-4d12-b948-38ad9c66b8f2,66.67,72.0,100,100,90,30,100,100,True,79.9
372077f7-8b47-4e0a-8d28-b43d31247e1e,6f313b7e-04a6-4ad3-bc54-cbea33d1b2a0,acf1d1af-1b38-496f-a972-3eff75d153c3,0.0,7.2,3,100,70,60,85.0,100,False,35.99
a4f66584-9196-439d-a4ae-83d3e0a50926,04fc0fbc-3d70-4d3a-87dd-38115c9a01a5,38a2e393-dd53-4b6b-a142-386bf4b03055,0,41.0,50,100,90,30,100,100,True,38.7
b1b93bf7-98a7-4bcc-9e5c-4d941719401a,46595dde-9e76-4044-950f-b4eb06b14bd5,99ebc1a6-fb78-4255-bbad-4707c69c4acd,0,45.0,100,100,50,30,100,100,False,30.5
13293cca-77e0-4f8e-9261-494b2d3d555c,600c64a8-0925-4dcf-a823-85629ecf3ba1,827d789b-cb03-4fbb-8299-cb6f5ba7a679,30,59.0,100,100,70,60,100,40,False,62.8
84a9c422-a911-4268-952e-2129f99f0cf4,f9e8e78a-8550-42bc-9ed0-6a9902ea4264,bf5f5005-1312-4706-a22e-e0ef52f7f45c,100,81.0,50,100,50,30,100,40,True,79.7
6a30a01e-3146-44f6-bbe2-37ba4996455a,f9e8e78a-8550-42bc-9ed0-6a9902ea4264,8642f5fb-b16b-47f2-9f5d-9f0c7f432cc3,0.0,6.6,9,100,70,60,10.0,100,False,32.72
161e9700-6bef-4ec5-b51e-8005d4907524,926fbdad-d167-4455-8dea-3e5697ddb9c4,86bee6a9-b02f-4be3-bde3-aa90ca150dd1,50.0,65.0,100,100,90,60,100,100,True,75.0
4a4343b3-c8cb-43dc-b33c-cbe3c8266679,4f7ec1ca-4230-4de6-b0a3-47677ae5458e,b81e1e7a-c54e-47d6-8931-a3bb83da1263,50.0,28.0,5,100,70,60,100,100,True,56.1
6ae5ac99-feae-495c-8ee8-5bdc3f4ade4e,054b0c11-1d61-479f-a466-3a53c02ac41c,e1223ae1-f82b-462e-8642-2e2fb9de839b,0.0,6.4,16,100,90,60,100,40,False,36.88
465fb83a-10c1-411b-88ad-692dcac741b9,0661d731-4940-4d47-9684-a27d07ac9a48,a9525120-3cb0-4a0e-8395-5ba9bdc2bc57,0.0,-5.2,2,80,50,60,100,100,False,29.16
d5eab4db-8c25-40af-bc4c-27cae17114f3,054b0c11-1d61-479f-a466-3a53c02ac41c,c3f4e71c-b7a1-444a-9b76-6f84f21b4d0c,0.0,6.8,17,60,50,100,100,100,False,32.06
c383f887-87c6-4c23-a379-460fb1fd3490,cee649d5-17c9-4ee1-9fc9-a2073fdd067b,ae1f90a2-378a-49ff-b43b-dc84bb46d922,100,59.0,10,100,70,60,73.0,100,True,76.45
269f01e1-066f-42a0-9b9c-d480d39c8eba,f9c2d49e-1a3c-4523-b4a2-9c92d21096f3,888615fb-3d8a-4ed9-beef-1a61dd2244bc,30,25.4,16,100,70,60,100,100,False,50.68
f5bd469e-0e62-4051-8c4b-60d89328bde5,17f1dc4f-32f6-481f-aaf2-59d5506eaf5f,5f468b14-3659-4c22-92d6-5ffababeb645,0.0,12.6,19,100,50,60,100,100,False,37.42
c7e5f303-c1d7-4901-b63f-493b9b73da99,499c8955-5d2a-4cc3-b2cd-8759992b46c0,02c8276f-13d2-4d72-b1d3-3d61fc61fa0d,0,-1.6,6,100,90,30,100,100,False,15.78
783e9af0-55c0-4ef7-b909-bebcfdc7f13e,de712609-885c-48be-b204-a2f8998b2e4a,b2ddf398-b5a2-4ecf-84be-a7543bf5b570,0.0,-4.2,12,100,70,30,100,100,False,33.86
0f31f1b3-be85-4162-9d8f-14c6b7a814c7,949173bb-98e6-44f5-8862-71f45f0c5487,283ed0f9-9fd2-4962-8ed3-4ec716e873f5,100,76.4,16,60,50,30,100,100,False,72.38
0fe24798-b807-440b-9cc9-8c4aed84593f,44f895f3-ab52-4c68-be7b-108a8c8f3740,33fac190-b887-4d91-b60e-1bcc8ac1312a,0.0,-5.6,6,80,50,100,100,100,False,31.48
60e75fb9-c32a-41f5-9849-fd0fc488bea1,c4ff8043-795c-4939-8a95-953711753ce9,0eeb7e41-6c84-46a3-aa5b-cc118323a4d0,0.0,5.8,7,40,50,60,100,100,False,45.86
6ca46523-84b4-4ae9-a7a1-85450ae3b194,c8559569-f080-4d3f-b9fb-d404aaeaea5e,0b6d05cd-088c-4511-b75d-1b9dbe3e133d,0.0,5.2,13,100,70,100,76.0,40,False,35.14
18d462f0-1f6c-41de-b5ac-3e8a95fede66,8bb16d46-a8ec-4a2c-a51d-cde7d11261e3,fb5f427c-cde5-4670-912d-67841ab6d8cb,100,59.4,16,60,70,60,53.0,100,False,70.13
dd328be1-1346-485c-8d9c-529556c43aa4,23a5d305-eda0-4e94-8e98-f4c86a0ad297,9af8d3e5-2b58-4eb2-af51-10db10f88ff3,0.0,13.8,12,80,90,30,100,40,False,33.46
7fb54c61-370d-45a6-a673-b8fe7bd04aa7,15b46f1c-a3f5-410c-952c-d5705a2be4a5,4ea870bd-f5ef-43bc-8582-07e8aadf35ee,0.0,-2.4,4,80,50,100,100,40,False,28.92
1d7a54a1-1ccb-4493-a576-1ad5a2d78be5,6f313b7e-04a6-4ad3-bc54-cbea33d1b2a0,bb0ea512-07b2-4f99-b53a-40af4c93bf6f,0.0,4.0,10,100,50,60,100,100,False,34.8
a8e3be6e-9868-43be-8ef2-082ec3c8467b,8173bc86-fbbc-4cb4-9fb3-b371c82b1da7,2db56fa3-747c-48a9-b29c-307b0f2135d2,0.0,-4.8,13,80,90,100,100,100,False,36.34
5c57ae36-187e-4f5c-a631-33f4b48f9518,5eabc2fb-da29-47cc-a1da-017581b62197,c5cb932c-ad37-4d39-b702-1c78a61aa7f1,0.0,11.4,16,100,70,30,100,40,False,34.38
5bf4fd6f-82cb-4f11-80dc-d99d4af002a9,ee7cc185-e6f3-41ed-af6b-fbf4a2d996e3,cc50582c-b6c4-4817-ae0e-1793cf6e408b,50.0,43.6,14,80,50,30,100,100,False,53.62
a6fd76dd-6a03-4def-a991-98a90040b5bf,74c6741e-4b17-44b6-bae9-1e967acb7ef7,4a34f2db-72b7-4b9e-8738-16988a857506,0.0,1.0,15,100,90,30,59.0,40,False,32.15
822d5e54-d903-48d7-b599-e14f1cbcc61e,15b46f1c-a3f5-410c-952c-d5705a2be4a5,95288a8c-e443-4477-b0b1-33514172843c,0.0,9.6,14,100,90,100,100,40,False,39.32
07cf0e10-0f5f-4c29-bba2-51a5dd31f357,926fbdad-d167-4455-8dea-3e5697ddb9c4,7feb0620-8250-413c-b61a-1d227d9ff2fb,0.0,-0.4,19,100,70,30,100,100,False,35.32
16216e44-2de5-4fbd-a4ed-c2a19fbb8ba3,7b33abe6-5813-4f74-a374-5ec39b676bcd,d14894df-2594-41b4-a607-28d1969bf9e7,0.0,13.0,10,80,50,60,100,100,False,33.6
e07110ed-f615-4052-8453-2d3f2c2c5b43,9f5ecb7e-28d4-4647-9117-0726e7eca285,09f1a286-ee8c-4ebe-a2e0-b06463464ca7,10.0,33.2,8,100,70,60,100,100,True,37.44
3dd46b4c-d30a-4339-bbff-af6ebcab10e0,c6407a8d-c6b5-4631-8445-9fb5474f07c7,86bee6a9-b02f-4be3-bde3-aa90ca150dd1,0.0,-2.4,9,100,90,60,100,100,False,37.42
16ee0a9f-3131-4373-87d6-9f7a2de72013,8dd3b10b-43d2-4148-a68b-2f2d3822a084,e1057cf0-69ce-4830-9197-71a2bef0f962,33.33,26.8,2,100,90,30,100,100,True,51.06
6dfd64ff-482c-4f96-9020-8942524be689,600c64a8-0925-4dcf-a823-85629ecf3ba1,52930cb5-173c-4129-afe0-5dc71762d9d0,0.0,8.8,12,100,90,30,57.0,100,False,36.31
5d8842e6-5cdc-4a1a-a63e-69f267307c2d,481c093a-286b-4170-a785-d71a646f547d,38e7ccc7-1bd6-4c01-a2b7-fd7d9fa41353,0.0,8.0,20,100,70,60,100,100,False,38.6
d3a2ef1c-0381-4644-9f4d-6345a833693e,ec805924-9f72-44dd-aa2d-a2a4f2ef4276,971201b7-3da4-40ad-ad30-062e94a9ff84,0.0,10.6,14,100,70,30,100,100,False,37.02
c782e7a9-8a83-4672-83e2-75513978534d,7b33abe6-5813-4f74-a374-5ec39b676bcd,edbc03ef-ecdf-4691-970c-f451cb9b7ef4,0.0,4.2,3,100,70,60,100,40,False,33.14
b79b6ade-8aea-4487-91ca-0b8311d095cc,600c64a8-0925-4dcf-a823-85629ecf3ba1,c4d712be-0fae-4f3e-b37d-6f1af1912f0e,0.0,2.8,2,100,70,30,100,40,False,31.26
73576f72-9a1a-447b-83f7-c9b576bff50d,949173bb-98e6-44f5-8862-71f45f0c5487,201ac675-9aed-4ff1-be8e-c8adb5eefb63,0.0,8.0,5,80,70,100,99.0,100,False,36.05
369ae7ff-495f-4422-8b57-4bf4a80c6821,600c64a8-0925-4dcf-a823-85629ecf3ba1,9f196c6e-e570-42a1-a069-6d0e6ce4eeb4,100,66.4,16,100,90,30,100,100,True,80.38
477fc2e2-ad9d-4cfa-ba13-dc7fde2ffa77,bdafab8f-2f56-4402-9372-d46f9e7f63f6,c10a2927-7138-462e-8327-be78e8c3be44,0.0,5.4,11,100,70,60,100,100,False,37.18
a13bc741-dc1a-458b-9ed0-8751bae820c4,129734b4-582b-42d2-b98b-03101cec4267,8a8d320a-3aec-411e-9984-7461e560ef9d,0.0,14.8,17,100,50,30,100,100,False,36.16
a2aba81c-ad5e-469a-9c41-53ecd8ca96f5,c9b924f7-3f8e-482e-9312-9d29d29ca15c,74b85d89-3c21-4571-9054-2d3c8f3f54e2,0.0,-2.0,20,80,70,30,100,100,False,32.1
0cb169e8-97bb-45be-a6e2-3b24d14680ab,4d5c5653-bf8e-46ce-862e-b3b7e1584ce3,e51c1251-32e7-4b52-a97c-0e07fd7f62d2,0.0,10.4,6,60,90,60,100,100,False,33.68
a4e188aa-60eb-452c-9d39-2b926c331534,4d5c5653-bf8e-46ce-862e-b3b7e1584ce3,4d84d83f-cd3f-401e-8ea9-e8ec65fffe6d,0.0,2.6,4,100,50,60,100,100,False,33.92
5c845ca0-f364-491a-b553-48c799ed7dad,46595dde-9e76-4044-950f-b4eb06b14bd5,563f7ced-45e6-4df4-91e4-78af2dcc225e,0.0,13.2,13,100,70,100,100,100,False,40.94
baf8bc8e-cfe0-481a-96a0-49accfccb479,e3fefcef-9bfe-4d2d-aec7-964ff5d7a350,cfaf3449-c444-4a08-ab5d-3a2fec719bc6,30,64.0,100,100,70,60,68.0,100,False,65.2
213a5e3e-b116-4ca0-a122-27be97bb1a77,de712609-885c-48be-b204-a2f8998b2e4a,a6bd948c-c029-458a-ace2-6f147d4fa1a9,0.0,2.2,13,100,90,60,100,100,False,38.74
a9aeda5b-645a-4243-a73b-035b7d57d22d,f8b1c77b-8b1e-4961-a578-e34b18d997e4,a9525120-3cb0-4a0e-8395-5ba9bdc2bc57,0.0,-3.0,5,60,50,60,100,100,False,26.9
e9ae0b63-66d1-4f2b-8620-2869754bca8b,8073490c-13f5-485d-a8ae-d98f07e35552,78dae3ab-9411-4a3b-84f7-8e3d6fffdff4,0.0,-4.8,3,100,70,100,100,100,False,36.34
c96c490b-7ac0-4217-bff7-d735a5ae568b,f8b1c77b-8b1e-4961-a578-e34b18d997e4,6e0ede6b-92f6-486f-a621-2682c3b9bcc6,66.67,50.2,3,100,70,30,100,100,True,63.84
8d5dbd7a-2404-4f94-88ee-fa3e7fada24e,600c64a8-0925-4dcf-a823-85629ecf3ba1,a3a5d6f9-4a03-478f-9e34-58ebde7ec532,0.0,6.0,0,100,70,30,100,40,False,51.7
0b0cdea6-0ed6-4d74-a688-325b0ce03471,341b6bd0-c7b3-4aaa-b60d-b2bb57358376,3bedca68-94ff-4d5d-9257-c831ab9d7c0d,0.0,-7.6,6,80,90,60,100,100,False,33.08
1710c950-8628-4538-825b-739cb0c98467,e7f45d2f-34cb-419a-8270-bf960d8fe50a,3efb510d-6da8-4223-b53d-4df753e1cfad,50.0,43.8,12,100,50,30,100,40,True,73.46
9850d436-9fa5-43b0-bdcb-6bd97ff60347,8dd3b10b-43d2-4148-a68b-2f2d3822a084,5e179167-367f-421f-a9e8-699a1e000e74,66.67,71.0,100,100,70,60,20.0,100,True,75.2
778766d6-a45e-4612-ad7f-9d653ea12a17,e257edbd-289c-420b-9e7f-fbd7e8aee60e,7caf32a1-d21b-4c9c-bd3d-17cbe7bbe4b1,0.0,9.6,9,20,70,100,100,40,False,24.82
69a30aa6-ce52-492c-85b5-904fc32e2298,f9e8e78a-8550-42bc-9ed0-6a9902ea4264,40161766-3a30-49cc-b6cb-aed98f453a3d,0,-2.0,10,100,50,100,100,40,False,12.6
49a9f6b1-0231-4b32-8f64-0f05f9f5ddf1,a67da432-3c5a-445d-a9b9-607bb83a9650,d445d31f-4fbf-4bfe-a053-3072de689793,33.33,11.6,4,100,70,60,34.0,40,True,41.42
ab8a7677-9d2e-4f8a-8b96-3d652a20424c,c12acd50-273c-4856-b50f-15ad96406571,9d61f270-482c-4def-a37b-636281e926dd,0.0,-0.8,13,100,70,30,72.0,40,False,30.24
3827ae13-98ed-483f-a0c5-65caf968cd53,92d00461-b2fb-45a6-9391-8f78fe52be78,8973b8fa-737f-4520-81d1-408f504218ef,30,26.0,5,100,90,100,100,40,False,50.7
302ea57f-1f6d-4e8c-86ed-82e89d991923,f8b1c77b-8b1e-4961-a578-e34b18d997e4,8f6d860b-95f0-4dc6-87ac-125d515e053f,0.0,4.8,7,100,50,60,100,100,False,34.66
80920f8d-8764-47c2-bb44-7619844e7711,6f313b7e-04a6-4ad3-bc54-cbea33d1b2a0,8b6aa5e5-11e5-425c-8c94-c711683bf22c,33.33,25.0,5,100,70,60,100,100,True,50.5
